FID_J09229EDC426947CC981F6871CF,GEO_ID,STATE,COUNTY,TRACT,BLKGRP,NAME,LSAD,CENSUSAREA,TARGET_FID,B25024e1,B25024m1,B25024e10,B25024m10,B25033e1,B25033m1,B25033e2,B25033m2,B25033e6,B25033m6,B25033e8,B25033m8,B25033e12,B25033m12,JoinID,TotalPopInMobileHomes,GEO_ID_1,STATE_1,COUNTY_1,TRACT_1,BLKGRP_1,NAME_1,LSAD_1,CENSUSAREA_1,FID_CA_SHP_CA_SHP_0,Shape__Area,Shape__Length,AnalysisArea
-1,,0,0,0,0,0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1500000US060650427061,6,65,42706,1,1,BG,1.25100005,983,4707135.10546875,8729.24835225,1.25195921
-1,,0,0,0,0,0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1500000US060650427063,6,65,42706,3,3,BG,0.199,985,739201.22265625,4303.2518587,0.19661626
-1,,0,0,0,0,0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1500000US060650427064,6,65,42706,4,4,BG,0.22,986,827803.59375,3894.91587942,0.22015114
-1,,0,0,0,0,0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1500000US060650427142,6,65,42714,2,2,BG,0.23199999,988,846906.10546875,4811.07516153,0.22586326
-1,,0,0,0,0,0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1500000US060650427161,6,65,42716,1,1,BG,0.26300001,989,1299883.71484375,5890.71349422,0.34662128
-1,,0,0,0,0,0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1500000US060650427231,6,65,42723,1,1,BG,0.76700002,990,2884117.04296875,9658.25484707,0.76804052
-1,,0,0,0,0,0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1500000US060650427301,6,65,42730,1,1,BG,2.59699988,992,9770218.578125,14148.77254352,2.60048418
-1,,0,0,0,0,0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1500000US060650427332,6,65,42733,2,2,BG,0.88300002,993,3254852.15234375,7265.71168174,0.86800868
-1,,0,0,0,0,0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1500000US060650427402,6,65,42740,2,2,BG,0.16500001,994,600427.79296875,3523.82860912,0.15994781
-1,,0,0,0,0,0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1500000US060650429032,6,65,42903,2,2,BG,2.9000001,997,10911232.8984375,15546.31159451,2.90340641
-1,,0,0,0,0,0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1500000US060650430012,6,65,43001,2,2,BG,0.32699999,998,1209868.1796875,6414.9944359,0.3227025
